가계부, Catatan keuangan rumah tangga
가구점, Toko furnitur
가까이, Dekat
가꾸다, Menanam/merawat
가난, Kemiskinan
가늘다, Tipis/ramping
가능, Kemungkinan / potensi
가능성, Kemungkinan
가능하다, Bisa / memungkinkan
가득, Penuh
가라앉다, Tenggelam
가렵다, Gatal
가루비누, Sabun bubuk
가리다, Membedakan
가리키다, Menunjuk / menunjukkan
가만히, Diam-diam / tanpa bergerak
가뭄, Kekeringan
가사, Pekerjaan rumah tangga
가상, Virtual / maya
가스, Gas
가습기, Pelembap udara
가입, Pendaftaran / keanggotaan
가전제품, Alat elektronik rumah tangga
가정, Keluarga / rumah tangga
가족적, Bersifat kekeluargaan
가축, Ternak
가치, Nilai
각각, Masing-masing
각자, Tiap orang / masing-masing
각종, Berbagai jenis
간격, Jarak / interval
간절히, Dengan sungguh-sungguh
간접적, Secara tidak langsung
간판, Papan nama
간호, Keperawatan
갈다, Mengganti
갈등, Konflik
갈수록, Semakin lama semakin...
갈아입다, Ganti pakaian
감각, Indra / perasaan
감기다, Terbelit / melilit
감독, Sutradara / pengawas
감동적, Mengharukan
감상, Apresiasi / penghargaan seni
감소, Penurunan / pengurangan
감정, Emosi / perasaan
감탄, Kekaguman
강물, Air sungai
강변, Tepi sungai
강사, Pengajar / instruktur
강수량, Curah hujan
강연, Ceramah
강우량, Jumlah curah hujan
강의, Kuliah
강의실, Ruang kuliah
강조, Penekanan
강하다, Kuat
갖추다, melengkapi
갚다, Membayar kembali / membalas
개강, Awal perkuliahan
개구리, Katak
개구쟁이, Anak nakal
개다, Cerah (setelah hujan)
개막식, Upacara pembukaan
개발, Pengembangan
개방, Pembukaan / keterbukaan
개방적, Bersifat terbuka
개선, Perbaikan
개성, Kepribadian / ciri khas
개성적, Berkarakter / khas
개인적, Pribadi
개최, Penyelenggaraan (acara)
객관적, Objektif
객실, Kamar tamu / kamar hotel
갸름하다, Lonjong / ramping
걔, Orang itu / dia (informal)
갈등, Konflik
거래, Transaksi
거미, Laba-laba
거북이, Kura-kura
거스름돈, Uang kembalian
거절, Penolakan
거짓, Kebohongan
거치다, Melalui / melewati
거품, Buih / gelembung
걱정거리, Kekhawatiran
건강식, Makanan sehat
건강식품, Produk makanan sehat
건너, Sebrang / di seberang
건네다, Menyerahkan / memulai percakapan
건더기, Isi padat (dalam sup)
건망증, Pelupa / lupa ingatan
건설, Konstruksi / pembangunan
건전지, Baterai
건조, Kering
건축, Arsitektur
건축가, Arsitek
걸레, Kain lap
걸레질, Mengepel / mengelap
걸음, Langkah
검다, Hitam
검사, Pemeriksaan
검색, Pencarian
검색어, Kata pencarian
겁, Rasa takut
겉, Luar / permukaan
겉모습, Penampilan luar
게다가, Selain itu / ditambah lagi
게시판, Papan pengumuman
게으르다, Malas
게임기, Mesin permainan
겨우, Hampir saja / akhirnya
격려, Dorongan / penyemangat
겪다, Mengalami / melewati
견디다, Bertahan / menahan
결과적, Sebagai hasil
결국, Akhirnya
결론, Kesimpulan
결말, Akhir cerita
결석, Ketidakhadiran
결심, Tekad / keputusan hati
결코, Sama sekali tidak / tak pernah
결혼기념일, Hari peringatan pernikahan
결혼식장, Gedung pernikahan
겸손, Kerendahan hati
겹치다, Tumpang tindih
경고, Peringatan
경력, Pengalaman kerja / karier
경비, Keamanan / biaya jaga
경비원, Petugas keamanan / satpam
경영, Manajemen
경영자, Pengusaha / manajer / CEO
경영학, Ilmu manajemen bisnis
경우, Kasus / situasi
경쟁, Persaingan
경쟁력, Daya saing
경제, Ekonomi
경제력, Kekuatan ekonomi
경제적, Bersifat ekonomis / ekonomis
경제학, Ilmu ekonomi
계산, Perhitungan / akuntansi
계산대, Kasir
계산서, Nota / tagihan
계약, Kontrak
계약금, Uang muka
계약서, Surat kontrak
계좌, Rekening bank
계층, Lapisan sosial / hierarki
계획성, Sifat terencana
계획적, Terencana / sesuai rencana
고개, Kepala / bukit kecil
고객, Pelanggan / klien
고구마, Ubi jalar
고궁, Istana tradisional Korea
고급, Berkualitas tinggi / mewah
고래, Paus
고마움, Rasa terima kasih
고무신, Sepatu karet
고무줄, Karet gelang
고민, Kekhawatiran
고백, pernyataan (cinta)
고생, Kesulitan / penderitaan
고소하다, Memiliki rasa gurih / kacang
고속, Kecepatan tinggi
고속도로, Jalan tol
고아원, Panti asuhan
고유하다, Unik / khas
고지서, Surat tagihan / pemberitahuan pembayaran
고집, Kegigihan / keras kepala
고춧가루, Bubuk cabai
고층, Lantai atas
고통, Rasa sakit / penderitaan
곤란, Kesulitan / kerepotan
골고루, Merata / seimbang
골목길, Gang kecil
골치가 아프다, Membuat pusing / menyusahkan
곰, Beruang
곱슬머리, Rambut keriting alami
곳곳, Di mana-mana / berbagai tempat
공공요금, Biaya umum
공공장소, Tempat umum
공동, Bersama / gabungan
공동생활, Kehidupan bersama
공사, Konstruksi / pembangunan
공손하다, Sopan
공장, Pabrik
공주, Putri
공통, Kesamaan
공통점, Titik kesamaan
공포, Ketakutan
공해, Polusi
과로, Kelelahan akibat kerja berlebihan
과목, Mata pelajaran
과소비, Pemborosan / konsumsi berlebihan
과속, Pelanggaran kecepatan
과식, Makan berlebihan
과연, Ternyata / sesuai dugaan
과외, Pelajaran tambahan / les privat
과음, Minum alkohol berlebihan
과장, Manajer / kepala bagian
과장하다, Melebih-lebihkan
과정, Proses
과제, Tugas
과학자, Ilmuwan
과학적, Bersifat ilmiah
관객, Penonton
관계없다, Tidak berhubungan
관계자, Pihak terkait / orang yang bersangkutan
관광, Pariwisata
관광객, Wisatawan
관광지, Tempat wisata
관람, Menonton / melihat pertunjukan
관람객, Penonton (pertunjukan)
관련, Hubungan / kaitan
관련성, Relevansi
관리, Pengelolaan / manajemen
관리실, Ruang pengelola
관용어, Ungkapan idiomatik / idiom
관찰, Pengamatan
광장, Alun-alun / lapangan terbuka
괜히, Tanpa alasan / sia-sia
괴로움, Penderitaan / kesakitan batin
괴로워하다, Merasa tersiksa / menderita
괴롭다, Menyakitkan / menyiksa
괴롭히다, Mengganggu / menindas
굉장하다, Hebat / luar biasa
굉장히, Sangat / luar biasa
교사, Guru
교외, Pinggiran kota / luar kota
교육, Pendidikan
교육자, Pendidik
교육학, Ilmu pendidikan
교재, Bahan ajar
교통수단, Alat transportasi
교통편, Sarana transportasi
교포, Warga negara yang tinggal di luar negeri
교환, Pertukaran
구두쇠, Orang pelit
구르다, Berguling
구매, Pembelian
구멍, Lubang
구별, Perbedaan / pembeda
구분, Klasifikasi
구성, Komposisi / susunan
구이, Panggang / grill
구인, Lowongan pekerjaan
구입, Pembelian
구조, Struktur
구조대, Tim penyelamat
구체적, Bersifat spesifik / konkrit
국가, Negara
국그릇, Mangkuk sup
국내선, Penerbangan domestik
국문학, Sastra nasional
국물, Kuah sup
국민, Warga negara / rakyat
국악, Musik tradisional Korea
국외, Luar negeri / warga luar negeri
국제결혼, Pernikahan internasional
국제선, Penerbangan internasional
국화, Krisan
군대, Tentara / militer
군데, Tempat / lokasi
굵다, Tebal
궁금증, Rasa ingin tahu / penasaran
궁금하다, Ingin tahu / penasaran
권하다, Menyarankan / menawarkan
귀걸이, Anting
귀국, Kembali ke negara asal
귀신, Hantu
귀중하다, Berharga / penting
귀찮다, Merepotkan / menyusahkan
귀하다, Mulia / langka / berharga
규칙적, Teratur / rutin
그네, Ayunan
그녀, Pacar perempuan
그늘, Bayangan / tempat teduh
그대로, Begitu saja
그래도, Namun / tetap
그래야, Supaya / agar
그래프, Grafik
그러니, Oleh karena itu / jadi
그러다가, Lalu / kemudian
그러므로, Oleh sebab itu / maka
그러자, Lalu / kemudian
그러하다, Begitu / seperti itu
그루, Pohon (satuan) / tunggul
그리, Begitu / sangat
그리워하다, Merindukan
그리하여, Maka dari itu / kemudian
그림책, Buku gambar
그립다, Dirindukan / membuat rindu
그만두다, Berhenti / menyerah
그만큼, Sebanyak itu / segitu
그저, Hanya / begitu saja
근데, ngomong-ngomong
근로자, Pekerja / buruh
근무, Kerja / tugas
근육, Otot
글쎄, Entahlah / hmm
글쓴이, Penulis
글씨, Tulisan tangan / huruf
글자, Huruf / karakter
긁다, Menggaruk
금, Emas
금메달, Medali emas
금액, Jumlah uang
금지, Larangan / dilarang
급히, Dengan tergesa-gesa
긍정적, Bersikap positif / afirmatif
기계, Mesin
기념, Peringatan 
기념관, Gedung peringatan
기념일, Hari peringatan 
기념품, Souvenir 
기능, Fungsi
기다, Merayap
기대, Harapan 
기도, Doa
기둥, tiang
기록, Catatan 
기본, Dasar 
기본적, Bersifat dasar
기부, Donasi 
기쁨, Kebahagiaan
기술, Keterampilan
기술자, Teknisi
기억, ingatan
기억나다, Teringat
기억력, Daya ingat / memori
기업, Perusahaan / korporasi
기업인, Pengusaha
기운, Energi / semangat
기울이다, Miringkan 
기준, Standar
기차역, Stasiun kereta
기차표, Tiket kereta
기초, Dasar 
기행문, Catatan perjalanan 
기호, Simbol
기혼, Sudah menikah
기회, Kesempatan 
기후, Iklim 
긴장감, ketegangan
길가, Pinggir jalan
길거리, Jalanan
길이, Panjang
김장, Proses membuat kimchi
깊다, Dalam
깊이, Kedalaman
까다, Mengupas
까다롭다, Sulit / rumit
깔다, Menyebar 
깜빡, Lupa sekejap / berkedip
깨끗이, Bersih 
깨닫다, Menyadari
깨뜨리다, Memecahkan
깨소금, Garam wijen
깨우다, Membangunkan seseorang
깻잎, Daun wijen
꺼지다, Padam / mati
껍질, Kulit / lapisan
꼬리, Ekor
꼬박꼬박, Tepat waktu
꼭대기, Puncak 
꼴찌, Posisi terakhir 
꼼꼼하다, Teliti 
꼼꼼히, Dengan teliti 
꽃병, Vas bunga
꽤, Cukup 
꾸미다, Menghias 
꾸준히, konsisten
꾸짖다, Menegur 
꿀, Madu
꿀벌, Lebah madu
꿈꾸다, Bermimpi
끈, Tali 
끊다, Memotong 
끊어지다, Terputus
끊임없다, Tidak berhenti 
끌다, Menarik 
끝내, Akhirnya 
끼어들다, Menyela 
나날이, Hari demi hari 
나들이, Jalan-jalan 
나머지, Sisa 
나물, Sayuran berbumbu ala Korea
나뭇잎, Daun
나서다, Maju 
나아가다, Melanjutkan 
나아지다, Membaik 
나타내다, Menampilkan 
낙서, Coretan 
낙엽, Daun gugur
난로, Tungku 
난방, Pemanas
날개, Sayap
날다, Terbang
날로, Hari demi hari
날리다, Ditiup 
날씬하다, Langsing 
날아가다, Terbang pergi
날아다니다, Terbang kesana kemari
날아오다, Terbang masuk 
날아오르다, Terbang ke atas 
낡다, Tua 
남녀노소, Semua umur 
남녀평등, Kesetaraan gender
남다, Tersisa 
남부, Bagian selatan
남성, Laki-laki 
남성복, Pakaian pria
낫다, Sembuh 
낭비, Pemborosan
낯설다, Asing / tidak familiar
낳다, Melahirkan
내내, Sepanjang waktu
내려다보다, Melihat ke bawah
내복, Pakaian dalam 
내부, Bagian dalam 
내성적, Pemalu 
내용물, Isi / konten 
내쫓다, Mengusir 
냇가, Sungai kecil 
냉방병, Masalah akibat AC berlebihan
너그럽다, Dermawan
너무나, Terlalu 
넉넉하다, Cukup 
널다, Mengangin-anginkan 
넓히다, Memperluas
넘기다, Menyerahkan 
넘어가다, Melanjutkan 
넘치다, Meluap 
네모나다, Berbentuk kotak
네트워크, Jaringan 
년대, Dekade 
노동, Buruh 
노동자, Pekerja 
노력, Usaha 
노선, Rute 
노인, Lansia 
노약자, Lansia dan penyandang disabilitas
노처녀, Perempuan tua yang belum menikah
노총각, Laki-laki tua yang belum menikah
노트북, Laptop
녹다, Mencair 
녹음, Rekaman suara
녹음기, Alat perekam suara 
논문, Makalah akademik 
놀랍다, Mengejutkan 
놀리다, Mengejek 
놀이, Permainan 
놀이터, Taman bermain
놈, Pria / orang (kasar)
농담, bercanda
농민, Petani
농부, Petani
농사, Pertanian
농약, Pestisida
농작물, Tanaman / hasil pertanian
농촌, Desa pertanian 
높이, ketinggian
높이다, Meningkatkan
높임말, Bahasa hormat 
놓이다, Diletakkan 
놓치다, Melewatkan 
눈길, Pandangan 
눈높이, Tingkat pemahaman 
눈병, Penyakit mata
눈보라, Badai salju
눈사태, Longsoran salju 
눈썹, Alis
눈치, Kecerdasan sosial 
눌러쓰다,  menutupi kepala
느긋하다, Santai 
느끼하다, Berminyak 
늘리다,  memperbanyak
늘어나다, Memanjang / bertambah
늘어서다, Berbaris 
늙다, Menjadi tua
늦추다, Menunda 
다가오다, Mendekat 
다녀가다, Berkunjung 
다람쥐, Tupai
다루다, Mengatur 
다림질, Menyetrika
다수, Banyak 
다양하다, Beragam 
다음날, Hari berikutnya
다정하다, Ramah 
다투다, Bertengkar 
다행, Keberuntungan 
다행히, beruntung
단계, Tahap 
단골, Pelanggan tetap
단기간, Jangka pendek
단단하다, Kuat 
단발머리, Rambut pendek 
단백질, Protein
단속, Pengaturan 
단순하다, Sederhana 
단순히, secara sederhana
단위, Satuan 
단정하다, Rapi 
단체, Kelompok 
단풍, Daun musim gugur 
달라지다, Berubah 
달려가다, Berlari menuju
달려오다, Berlari datang
달리, Selain itu 
달리기, berlari
달밤, Malam bulan
달아나다, Melarikan diri
달콤하다, Manis
닭갈비, Hidangan ayam ala Korea
담, Dinding 
담기다, Dimasukkan 
담다, Memasukkan 
담당, Bertanggung jawab 
담당자, Orang yang bertanggung jawab
담백하다, Murni / jujur
담뱃불, Api rokok 
담임, Guru wali kelas
답, Jawaban
답글, Balasan komentar
답답하다, Sesak 
답변, Jawaban 
당기다, Menarik
당분간, Sementara waktu 
당연하다, Wajar 
당연히, Tentu saja
당장, Segera 
당하다, Menjadi korban 
당황하다, Bingung 
대개, Kebanyakan 
대기업, Perusahaan besar
대다, Menyentuh 
대단하다, Hebat 
대단히, Sangat 
대도시, Kota besar
대량, Jumlah besar 
대리, Pengganti 
대문, Pintu 
대신, Menggantikan 
대여, Penyewaan
대여료, Biaya sewa
대접, Perlakuan 
대중, Publik 
대중교통, Transportasi umum
대중목욕탕, Pemandian umum
대책, Tindakan 
대청소, Bersih-bersih besar 
대체로, Umumnya 
대출, Pinjaman 
대통령, Presiden
대표, Perwakilan 
대표적, Bersifat representatif 
대형, Berukuran besar
댄스, Tarian 
더구나, Terlebih lagi 
더러워지다, Menjadi kotor
더욱, Lebih lagi 
더위, hawa panas
더하다, menjadi lebih 
덕, Berkat 
던지다, Melempar
덜, Kurang 
덜다, Mengurangi
데다, Terbakar 
데려오다, Membawa (seseorang)
데치다, Merebus sebentar 
도구, Alat 
도난, Pencurian
도대체, Sebenarnya 
도둑, Pencuri
도망가다, Melarikan diri
도서, Buku
도시락, Kotak makan 
도장, Stempel 
도전, Tantangan 
도중, Di tengah jalan
독, Racun
독감, Influenza 
독립, Kemerdekaan 
독방, sel isolasi
독신자, Lajang 
독특하다, Unik 
돌, Batu
돌다, Berputar 
돌려받다, Diterima kembali
돌려보내다, Mengembalikan
돌려주다, Mengembalikan 
돌리다, Memutar 
돌보다, Merawat 
돌솥, Panci batu
돌아서다, Berbalik 
돌잔치, Pesta ulang tahun pertama
동굴, Gua
동료, Rekan kerja 
동물원, Kebun binatang
동부, Bagian timur
동서양, Timur dan Barat
동시, Serentak 
동양화, Lukisan oriental
동영상, Video
동일하다, Sama 
동작, Gerakan 
동창, Teman seangkatan 
동창회, Pertemuan alumni
동해안, Pesisir timur
동호회, Klub 
되도록, Sebisa mungkin
되돌리다, Mengembalikan
되돌아보다,  mengenang
되살아나다, hidup lagi
두려움, Ketakutan
두려워하다, Takut 
두세, Dua atau tiga
두통, Sakit kepala
두통약, Obat sakit kepala
둔하다, Tumpul 
둘러보다, Melihat sekeliling
둥글다, Bulat 
뒤떨어지다, Tertinggal 
뒤집다, membalikkan
뒤풀이, Pesta setelah acara 
뒷모습, Tampak belakang 
뒷문, Pintu belakang
뒷이야기, Cerita di balik 
뒷자리, Kursi belakang
드디어, Akhirnya
드라이, Kering 
드림, Mimpi 
드물다, Jarang 
든든하다, dapat dipercaya
들려주다, memberi tahu
들르다, Singgah 
들리다, Terdengar
들어보다, Mencoba mendengarkan
들어주다, Mendengarkan 
들이다, Menghabiskan 
등록, Pendaftaran
등록금, Biaya pendaftaran 
등록증, Kartu pendaftaran 
등불, Lampu 
디스크, Cakram 
디자이너, desainer
디지털, Digital
따다, meraih 
따라다니다, Mengikuti 
따라서, Oleh karena itu 
따로따로, Terpisah 
따지다, mempersoalkan
딱, Tepat 
딱딱하다, keras
딴, Lain 
땅, Tanah
땅콩, Kacang tanah
때때로, Kadang-kadang
때로, Sekali-sekali
떠오르다, Mengapung 
떨다, Gemetar
떨리다, Bergetar 
떨어뜨리다, Menjatuhkan
떼다, Melepas 
또박또박, satu per satu
또한, Juga
똑같이, Sama persis
똑똑하다, Pintar / cerdas
뚜렷하다, Jelas / nyata
뚫다, melubangi
뚱뚱하다, Gemuk
뛰어가다, Berlari menuju
뛰어나다, Unggul 
뛰어내리다, Melompat turun
뛰어넘다, Melompati 
뛰어다니다, Berlari ke sana kemari
뛰어오다, Berlari datang
뛰쳐나가다, Berlari keluar
뜨거워지다, Menjadi panas
뜻밖에, Tak terduga
띠, Zodiak / sabuk / pita
램프, Lampu
레몬, Lemon
레포츠, Olahraga rekreasi
렌즈, Lensa
렌터카, Mobil sewaan
로또, Lotere
로봇, Robot
로비, Lobi
룸메이트, Teman sekamar
리듬, Irama 
리모컨, remote
마감일, deadline
마네킹, Manekin
마당, Halaman rumah
마디, Bagian 
땅콩, Kacang tanah
마라톤, Maraton
마련하다, mempersiapkan
마루, Lantai dalam rumah
마무리, kesimpulan
마술, Sihir / sulap
마스크, Masker
마약, Narkoba
마을, Desa
마음껏, Sebebasnya 
마음대로, Sesuai keinginan
마음먹다, Bertekad 
마음씨, Hati 
마주보다, Saling menatap
마주치다, berpapasan
마중, Menjemput
마찬가지, Sama 
마치, seolah
매콤하다, pedas manis
마침, kebetulan
매표소, loket tiket
마침내, akhirnya
맨발, kaki telanjang
마케팅, pemasaran
맨손, tangan kosong
마트, supermarket
맹인, orang buta
막, sembarangan
맺다, mengikat
막내, anak bungsu
머리카락, rambut
막다, menghalangi
머무르다, tinggal
막대기, tongkat
머지않다, tidak lama lagi
막차, kereta terakhir
먹을거리, makanan
만남, pertemuan
먹이, pakan
만년필, pena tinta
먹이다, memberi makan
만약, jika
먼지, debu
만족, kepuasan
멀리, jauh
만족감, rasa puas
멀티미디어실, ruang multimedia
만화책, buku komik
멈추다, berhenti
맏딸, anak perempuan sulung
멋지다, keren
맏아들, anak laki-laki sulung
멍, memar
말다툼, pertengkaran
메일, surel
말리다, menghentikan
멜로디, melodi
말투, cara bicara
멜론, melon
맛보다, mencicipi
며느리, menantu perempuan
망가뜨리다, merusak
면, sisi
망가지다, rusak
면세점, toko bebas bea
망설이다, ragu
면접, wawancara
망하다, gagal
면접관, pewawancara
맞벌이, keluarga dua penghasilan
면접시험, ujian wawancara
맞이, penyambutan
면허증, surat izin
맞추다, menyesuaikan
명랑, keceriaan
맡기다, menitipkan
명랑하다, ceria
맡다, mengambil alih
명사, kata benda
매년, setiap tahun
명소, tempat terkenal
매달, setiap bulan
명품, barang bermerek
매력, daya tarik
몇몇, beberapa
매력적, menarik
모국어, bahasa ibu
매연, asap
모기, nyamuk
매운탕, sup ikan pedas
모델, model
매점, kantin
모래, pasir
매진, habis terjual
모범생, murid teladan
매체, media
모습, penampilan
모음, huruf vokal
문명, peradaban
모자라다, kurang
문법, tata bahasa
모집, perekrutan
문병, menjenguk orang sakit
모험심, jiwa petualang
문서, dokumen
모형, model
문의, pertanyaan
목마르다, haus
문자, pesan singkat
목사, pendeta
문제점, masalah
목숨, nyawa
문학, sastra
목욕탕, pemandian umum
문화생활, kehidupan budaya
목적지, tujuan
문화유산, warisan budaya
목표, tujuan
문화적, bersifat budaya
몰라보다, tidak mengenali
묻히다, tertutup
몰래, diam-diam
물가, harga barang
몰려들다, berkumpul
물고기, ikan
몰리다, penuh sesak
물냉면, mie dingin
몸무게, berat badan
물다, menggigit
몸짓, gerakan tubuh
물러서다, mundur
몹시, sangat
물려주다, mewariskan
못생기다, jelek
물리다, digigit
무게, berat
물방울, tetes air
무관심, acuh tak acuh
물약, obat cair
무너지다, runtuh
물음, pertanyaan
무늬, pola
물질, zat
무대, panggung
물품, barang
무더위, panas terik
뮤지컬, musikal
무덤, makam
미끄러지다, tergelincir
무덥다, panas dan lembab
미끄럽다, licin
무렵, sekitar (waktu)
미루다, menunda
무사히, dengan selamat
미소, senyum
무서워하다, takut
미역, rumput laut
무선, nirkabel
미역국, sup rumput laut
무소식, tanpa kabar
미용사, penata rambut
무시, mengabaikan
미인, wanita cantik
무인, tanpa orang
미치다, gila
무조건, mutlak
미팅, kencan buta
무지개, pelangi
미혼, lajang
무통장 입금, transfer tanpa buku tabungan
민박, penginapan
묵다, menginap
민속, tradisi rakyat
묶다, mengikat
민속놀이, permainan tradisional
문구, alat tulis
민요, lagu rakyat
민족, suku bangsa
믿다, percaya
믿음, kepercayaan
믿음직스럽다, dapat dipercaya
믿음직하다, dapat diandalkan
밀다, mendorong
밀려오다, datang berbondong-bondong
밀리미터, milimeter
밉다, menjengkelkan
및, dan
밑줄, garis bawah
바가지, tempurung
바구니, keranjang
바깥, luar
바느질, menjahit
바늘, jarum
바닥, lantai
바닥나다, habis
바닷물, air laut
바둑, permainan baduk
바라보다, memandang
바보, orang bodoh
바위, batu
바이러스, virus
바퀴, roda
바탕, dasar
박사, doktor
박스, kotak
반가워하다, senang bertemu
반납, pengembalian
반납일, tanggal pengembalian
반대, berlawanan
반대말, kata berlawanan
반대쪽, sisi berlawanan
반드시, pasti
반말, bahasa tidak formal
반성, introspeksi
반응, reaksi
반짝반짝, berkilau
반짝이다, bersinar
반품, pengembalian barang
반하다, jatuh cinta
받아들이다, menerima
발걸음, langkah kaki
발견, penemuan
발급, penerbitan
발달, perkembangan
발레, balet
발명, penemuan
발목, pergelangan kaki
발생, kejadian
발자국, jejak kaki
발표자, pembicara
발표회, presentasi
밝히다, mengungkapkan
밟다, menginjak
밤새, semalaman
밤새우다, begadang
밥그릇, mangkuk nasi
밥맛, selera makan
밥상, meja makan
방금, baru saja
방문, kunjungan
방송사, stasiun penyiaran
방식, cara
방청객, penonton
방해, gangguan
방향, arah
밭, ladang
배경, latar belakang
배꼽, pusar
배낭, ransel
배낭여행, perjalanan dengan ransel
배려, perhatian
배우자, pasangan
반복, pengulangan
배추, sawi
배터리, baterai
뱀, ular
뱉다, meludah
버릇, kebiasaan
버릇없다, tidak sopan
버섯, jamur
버튼, tombol
번역, terjemahan
번호표, nomor antrean
벌금, denda
벌리다, membuka
벌집, sarang lebah
범위, jangkauan
범인, penjahat
범죄, kejahatan
법, hukum
법원, pengadilan
벗기다, melepas
벗어나다, keluar
베개, bantal
벨, bel
벨트, sabuk
벼, padi
벼락, petir
벼룩시장, pasar loak
벽걸이, gantungan dinding
벽돌, batu bata
변경, perubahan
변기, toilet
변명, alasan
변비, sembelit
변하다, berubah
변화, perubahan
별명, julukan
별일, hal istimewa
병문안, menjenguk orang sakit
보고, laporan
보고서, laporan tertulis
보고회, rapat laporan
보관, penyimpanan
보관실, ruang penyimpanan
보기, contoh
보너스, bonus
보람, kepuasan batin
보름, tanggal lima belas bulan kalender
보름달, bulan purnama
보물, harta karun
보살피다, merawat
보약, jamu
보증금, uang jaminan
보충, tambahan
보험, asuransi
보험금, uang asuransi
보험료, biaya asuransi
보호, perlindungan
복, keberuntungan
복권, lotre
복날, hari makan makanan bergizi
복도, lorong
복사, salinan
복사기, mesin fotokopi
복습, mengulang pelajaran
복통, sakit perut
본론, pokok pembahasan
본문, isi teks
볼거리, tontonan
볼륨, volume
볼링, boling
볼링장, arena boling
볼일, urusan
봉사, pelayanan
봉사자, relawan
부끄러워하다, merasa malu
부끄럽다, malu
부담, beban
부딪치다, menabrak
부딪히다, tertabrak
부러워하다, iri
부러지다, patah
부럽다, iri hati
부분, bagian
부사, kata keterangan
부상, cedera
부상자, korban luka
부서, departemen
부서지다, hancur
부자, orang kaya
부작용, efek samping
부잣집, keluarga kaya
부정적, bersifat negatif
부족, kekurangan
부주의, kecerobohan
부지런히, rajin
부채, kipas
부케, buket bunga
부피, volume
분량, jumlah
분리, pemisahan
분리수거, pemilahan sampah
분명하다, jelas
분명히, dengan jelas
분실, kehilangan
분실물, barang hilang
분홍색, warna pink
불가능, ketidakmungkinan
불가능하다, tidak mungkin
불경기, resesi
불교, agama Buddha
불규칙, ketidakteraturan
불꽃놀이, kembang api
불량, cacat
불만, ketidakpuasan
불면증, insomnia
불법, ilegal
불빛, cahaya
불쌍하다, kasihan
불안, kecemasan
불안감, rasa cemas
불어나다, bertambah
불친절, tidak ramah
불태우다, membakar
불편, ketidaknyamanan
불평, keluhan
불필요, tidak perlu
불행, kemalangan
붉다, merah
붐비다, ramai
붕어빵, kue ikan isi kacang merah
붙잡다, menangkap
붙잡히다, tertangkap
뷔페, prasmanan
브랜드, merek
브레이크, rem
블라인드, tirai
블로그, blog
비교, perbandingan
비교적, relatif
비닐, plastik
비다, kosong
비디오카메라, kamera video
비록, meskipun
비만, obesitas
비바람, badai
비비다, menggosok
비빔냉면, mi dingin pedas
비상약, obat darurat
비용, biaya
비우다, mengosongkan
비자, visa
비추다, memantulkan
비타민, vitamin
비하다, membandingkan
빗길, jalan basah
빚, utang
빛, cahaya
빠뜨리다, menjatuhkan
빠지다, tenggelam
빠짐없이, tanpa kecuali
빨개지다, memerah
빼앗기다, dirampas
빼앗다, merampas
뺨, pipi
뻔하다, jelas
뻗다, menjulur
뽑다, memilih
뿌리, akar
뿌리다, menyemprot
사건, peristiwa
사고방식, cara berpikir
사교적, ramah
사귀다, bergaul
사라지다, menghilang
사로잡다, menangkap
사막, gurun
사망, kematian
사망자, korban meninggal
사모님, nyonya
사무소, kantor
사생활, kehidupan pribadi
사슴, rusa
사실, fakta
사업, usaha
사용료, biaya penggunaan
사용법, cara penggunaan
사우나, sauna
사은품, hadiah apresiasi
사이버, daring
사이좋다, akur
사이트, situs web
사정, keadaan
사진관, studio foto
사진첩, album foto
사춘기, masa puber
사투리, dialek
사표, surat pengunduran diri
사회, masyarakat
사회생활, kehidupan sosial
사회자, pembawa acara
사회적, sosial
산꼭대기, puncak gunung
산더미, setumpuk
산부인과, kebidanan dan kandungan
산불, kebakaran hutan
산업, industri
산책로, jalur jalan kaki
살리다, menyelamatkan
살림, kehidupan rumah tangga
살아가다, hidup
살아나다, hidup kembali
살아남다, bertahan hidup
살아오다, hidup sampai sekarang
살인, pembunuhan
살짝, sedikit
살찌다, gemuk
살펴보다, mengamati
살피다, memeriksa
삶, kehidupan
삶다, merebus
삼겹살, daging perut babi panggang
